,Open,High,Low,Close,Adj Close,Volume
2022-04-22 13:32:00-04:00,139.9199981689453,139.9199981689453,139.8699951171875,139.8800048828125,139.8800048828125,0.0
2022-04-22 13:34:00-04:00,139.8699951171875,139.94000244140625,139.85459899902344,139.8800048828125,139.8800048828125,10524.0
2022-04-22 13:36:00-04:00,139.85580444335938,139.97000122070312,139.84039306640625,139.86000061035156,139.86000061035156,18139.0
2022-04-22 13:38:00-04:00,139.83999633789062,139.92999267578125,139.80999755859375,139.89950561523438,139.89950561523438,15291.0
2022-04-22 13:40:00-04:00,139.89999389648438,140.0,139.8000030517578,139.82000732421875,139.82000732421875,38923.0
2022-04-22 13:42:00-04:00,139.80999755859375,139.80999755859375,139.66000366210938,139.7899932861328,139.7899932861328,14098.0
2022-04-22 13:44:00-04:00,139.77999877929688,139.8300018310547,139.75,139.8000030517578,139.8000030517578,9581.0
2022-04-22 13:46:00-04:00,139.69790649414062,139.77999877929688,139.64999389648438,139.66000366210938,139.66000366210938,7133.0
2022-04-22 13:48:00-04:00,139.66610717773438,139.72000122070312,139.55999755859375,139.5760040283203,139.5760040283203,9464.0
2022-04-22 13:50:00-04:00,139.58529663085938,139.639892578125,139.4517059326172,139.61000061035156,139.61000061035156,19774.0
2022-04-22 13:52:00-04:00,139.6300048828125,139.66000366210938,139.47999572753906,139.47999572753906,139.47999572753906,27402.0
2022-04-22 13:54:00-04:00,139.4600067138672,139.4600067138672,139.33999633789062,139.4149932861328,139.4149932861328,21269.0
2022-04-22 13:56:00-04:00,139.4199981689453,139.42999267578125,139.2899932861328,139.30499267578125,139.30499267578125,15707.0
2022-04-22 13:58:00-04:00,139.32000732421875,139.35000610351562,139.23399353027344,139.27000427246094,139.27000427246094,16594.0
2022-04-22 14:00:00-04:00,139.24000549316406,139.27000427246094,139.1699981689453,139.27000427246094,139.27000427246094,18577.0
2022-04-22 14:02:00-04:00,139.2899932861328,139.3300018310547,139.22999572753906,139.2471923828125,139.2471923828125,12506.0
2022-04-22 14:04:00-04:00,139.25,139.25,139.08999633789062,139.1999969482422,139.1999969482422,19049.0
2022-04-22 14:06:00-04:00,139.2100067138672,139.27999877929688,139.18800354003906,139.22999572753906,139.22999572753906,14260.0
2022-04-22 14:08:00-04:00,139.23660278320312,139.23660278320312,139.14999389648438,139.19500732421875,139.19500732421875,11681.0
2022-04-22 14:10:00-04:00,139.19000244140625,139.27999877929688,139.16000366210938,139.25,139.25,18745.0
2022-04-22 14:12:00-04:00,139.23519897460938,139.24000549316406,139.16659545898438,139.18499755859375,139.18499755859375,13241.0
2022-04-22 14:14:00-04:00,139.1999969482422,139.32000732421875,139.15640258789062,139.27000427246094,139.27000427246094,18185.0
2022-04-22 14:16:00-04:00,139.25,139.4799041748047,139.24009704589844,139.4799041748047,139.4799041748047,11601.0
2022-04-22 14:18:00-04:00,139.4499969482422,139.60000610351562,139.43099975585938,139.52999877929688,139.52999877929688,26928.0
2022-04-22 14:20:00-04:00,139.5500030517578,139.60000610351562,139.4149932861328,139.4149932861328,139.4149932861328,17724.0
